Depth sed [m],Depth (cm),Age [ka BP],TC [%],TOC [%],TN [%],?13C Corg,"?13C Corg [ä PDB] (Element Analyser, Eurovector,...)",Terr [%],"<63 µm [%] (Grain size, sieving)",Depth sed [m],Depth (cm),TOC/TN
8.985,898.5,16.8235,1.7,0.71,0.1,-20.61,3.38,21.93,98.85,8.985,898.5,8.283333333
9.105,910.5,16.9015,1.67,0.7,0.1,-20.36,3.3,12.76,99.51,9.105,910.5,8.166666667
9.205,920.5,16.951,1.65,0.69,0.11,-20.33,3.46,11.96,98.85,9.205,920.5,7.318181818
9.285,928.5,16.9975,1.68,0.77,0.11,-20.35,3,12.36,99.56,9.285,928.5,8.166666667
9.325,932.5,17.016,0.97,0.59,0.11,-19.05,1.96,-34,80.95,9.325,932.5,6.257575758
9.375,937.5,17.043,1.74,0.62,0.1,-21.21,3.32,43.34,99.74,9.375,937.5,7.233333333
9.405,940.5,17.0615,1.73,0.66,0.1,-20.98,2.58,34.88,99.76,9.405,940.5,7.7
9.505,950.5,17.11,1.36,0.66,0.1,-20.92,2.78,33.02,99.73,9.505,950.5,7.7
9.605,960.5,17.163,1.59,0.62,0.09,-20.75,2.97,26.81,99.37,9.605,960.5,8.037037037
9.705,970.5,17.228,1.55,0.68,0.1,-20.8,3.32,28.41,99.7,9.705,970.5,7.933333333
9.805,980.5,17.3115,1.5,0.6,0.09,-20.85,3.09,30.42,99.33,9.805,980.5,7.777777778
9.905,990.5,17.4005,1.62,0.63,0.09,-20.74,3.59,26.57,99.69,9.905,990.5,8.166666667
10.005,1000.5,17.4765,1.63,0.66,0.1,-20.82,3.13,29.13,98.3,10.005,1000.5,7.7
10.105,1010.5,17.5225,1.65,0.68,0.09,-20.97,2.89,34.49,98.59,10.105,1010.5,8.814814815
10.205,1020.5,17.5825,1.11,0.67,0.09,-21.31,1.09,46.76,99.43,10.205,1020.5,8.685185185
10.305,1030.5,17.6445,1.65,0.69,0.09,-20.93,1.32,33.18,99.65,10.305,1030.5,8.944444444
10.405,1040.5,17.704,1.68,0.66,0.09,-20.97,0.78,34.52,97.86,10.405,1040.5,8.555555556
10.485,1048.5,17.7435,1.99,0.69,0.08,-20.99,1.73,35.32,95.89,10.485,1048.5,10.0625
10.585,1058.5,17.8055,1.7,0.64,0.1,-21.18,1.88,42.25,99.42,10.585,1058.5,7.466666667
10.685,1068.5,17.848,1.63,0.63,0.1,-21.01,2.13,36.11,99.29,10.685,1068.5,7.35
10.785,1078.5,17.893,1.67,0.66,0.1,-21.14,1.57,40.84,99.45,10.785,1078.5,7.7
10.885,1088.5,17.948,1.74,0.7,0.11,-21.02,1.7,36.48,99.2,10.885,1088.5,7.424242424
10.985,1098.5,17.984,1.67,0.64,0.1,-21.19,1.29,42.51,99.65,10.985,1098.5,7.466666667
11.085,1108.5,18.025,1.65,0.64,0.09,-21.13,0.59,40.43,96.48,11.085,1108.5,8.296296296
11.135,1113.5,18.0485,0.85,0.6,0.1,-21.19,1.83,42.52,99.34,11.135,1113.5,7
11.165,1116.5,18.0565,1.29,0.66,0.1,-20.34,-1.64,12.21,87.92,11.165,1116.5,7.7
11.205,1120.5,18.076,1.63,0.61,0.09,-21.3,1.52,46.5,97.67,11.205,1120.5,7.907407407
11.305,1130.5,18.1155,1.44,0.61,0.09,-21.41,1.75,50.34,99.65,11.305,1130.5,7.907407407
11.405,1140.5,18.1605,1.6,0.65,0.1,-21.11,2.03,39.65,99.48,11.405,1140.5,7.583333333
11.505,1150.5,18.199,1.63,0.67,0.1,-20.97,2.78,34.64,99.08,11.505,1150.5,7.816666667
11.605,1160.5,18.2355,1.7,0.62,0.1,-21.22,1.73,43.65,99.85,11.605,1160.5,7.233333333
11.705,1170.5,18.2715,1.59,0.64,0.11,-21.26,1.68,45.09,99.42,11.705,1170.5,6.787878788
11.805,1180.5,18.3205,1.67,0.57,0.11,-21.44,1.05,51.49,99.79,11.805,1180.5,6.045454545
11.905,1190.5,18.368,1.72,0.57,0.11,-21.31,1.18,46.62,99.67,11.905,1190.5,6.045454545
11.985,1198.5,18.4,1.7,0.57,0.1,-21.25,2.17,44.66,99.55,11.985,1198.5,6.65
12.105,1210.5,18.452,1.65,0.62,0.1,-21.25,1.84,44.78,99.92,12.105,1210.5,7.233333333
12.205,1220.5,18.504,1.88,0.67,0.11,-21.29,1.51,46.1,99.4,12.205,1220.5,7.106060606
12.305,1230.5,18.559,1.67,0.59,0.11,-21.41,1.74,50.24,99.62,12.305,1230.5,6.257575758
12.405,1240.5,18.6115,1.73,0.55,0.11,-21.24,1.66,44.31,99.22,12.405,1240.5,5.833333333
12.505,1250.5,18.668,1.73,0.6,0.11,-21.2,1.25,42.98,99.7,12.505,1250.5,6.363636364
12.605,1260.5,18.7315,1.74,0.6,0.11,-21.09,1.97,39.1,99.57,12.605,1260.5,6.363636364
12.705,1270.5,18.7795,1.7,0.65,0.12,-21.23,1.91,43.82,99.79,12.705,1270.5,6.319444444
12.795,1279.5,18.833,1.64,0.56,0.1,-21.34,2.39,47.73,98.18,12.795,1279.5,6.533333333
12.895,1289.5,18.9035,1.55,0.6,0.11,-21.27,2.33,45.43,99.46,12.895,1289.5,6.363636364
13.005,1300.5,18.995,1.19,0.56,0.11,-21.63,1.99,58.04,99.44,13.005,1300.5,5.939393939
13.105,1310.5,19.0765,1.58,0.59,0.11,-21.3,2.23,46.37,99.17,13.105,1310.5,6.257575758
13.205,1320.5,19.1555,1.46,0.62,0.11,-21.31,2.27,46.81,98.96,13.205,1320.5,6.575757576
13.305,1330.5,19.236,1.3,0.58,0.11,-21.39,2.64,49.71,99.88,13.305,1330.5,6.151515152
13.405,1340.5,19.292,1.24,0.55,0.1,-22.07,1,73.75,99.57,13.405,1340.5,6.416666667
13.485,1348.5,19.349,1.53,0.65,0.11,-21.68,1.34,60.08,99.88,13.485,1348.5,6.893939394
13.515,1351.5,19.36,1.59,0.69,0.12,-20.91,1.6,32.58,99.23,13.515,1351.5,6.708333333
13.605,1360.5,19.406,1.6,0.68,0.1,-21.2,1.58,42.93,99.27,13.605,1360.5,7.933333333
13.705,1370.5,19.4555,1.39,0.6,0.1,-21.22,1.78,43.62,99.74,13.705,1370.5,7
13.805,1380.5,19.498,1.46,0.69,0.11,-21.27,2.37,45.24,97.98,13.805,1380.5,7.318181818
13.905,1390.5,19.557,1.46,0.75,0.11,-21.33,2.34,47.6,99.76,13.905,1390.5,7.954545455
13.975,1397.5,19.586,1.04,0.61,0.1,-21.34,1.16,47.91,94.18,13.975,1397.5,7.116666667
14.065,1406.5,19.6315,1.64,0.69,0.11,-20.91,1.55,32.33,96.92,14.065,1406.5,7.318181818
14.175,1417.5,19.6855,1.43,0.62,0.1,-21.2,1.75,42.88,99.64,14.175,1417.5,7.233333333
14.295,1429.5,19.746,1.48,0.66,0.11,-21.08,0.94,38.63,98.48,14.295,1429.5,7
14.405,1440.5,19.7985,1.43,0.69,0.11,-20.98,1.5,34.92,99.49,14.405,1440.5,7.318181818
14.505,1450.5,19.8565,1.19,0.62,0.11,-21,1.56,35.7,88.9,14.505,1450.5,6.575757576
14.605,1460.5,19.907,1.37,0.79,0.1,-20.58,0.4,20.73,90.45,14.605,1460.5,9.216666667
14.655,1465.5,19.937,1.39,0.72,0.11,-21.67,1.8,59.57,98.33,14.655,1465.5,7.636363636
14.755,1475.5,19.9835,1.34,0.61,0.1,-21.66,2.11,59.27,99.8,14.755,1475.5,7.116666667
14.855,1485.5,20.048,1.22,0.61,0.1,-21.31,1.86,46.69,99.09,14.855,1485.5,7.116666667
14.955,1495.5,20.107,0.86,0.59,0.1,-21.8,2.92,64.19,99.77,14.955,1495.5,6.883333333
15.045,1504.5,20.1515,1.36,0.68,0.1,-21.39,1.97,49.82,99.28,15.045,1504.5,7.933333333
15.145,1514.5,20.219,1.29,0.61,0.1,-21.32,1.98,47.18,99.33,15.145,1514.5,7.116666667
15.245,1524.5,20.291,1.34,0.63,0.1,-21.26,2.13,45.07,99.62,15.245,1524.5,7.35
15.345,1534.5,20.3695,0.91,0.54,0.09,-21.59,1.52,56.94,99.07,15.345,1534.5,7
15.445,1544.5,20.4535,1.54,0.56,0.09,-21.53,1.23,54.7,99.7,15.445,1544.5,7.259259259
15.545,1554.5,20.507,1.45,0.58,0.09,-21.33,2.7,47.64,98.95,15.545,1554.5,7.518518519
15.645,1564.5,20.5995,1.23,0.65,0.09,-21.5,2.38,53.63,99.83,15.645,1564.5,8.425925926
15.745,1574.5,20.6805,1.33,0.53,0.09,-21.44,1.4,51.6,98.88,15.745,1574.5,6.87037037
15.845,1584.5,20.765,1.51,0.56,0.1,-21.32,1.56,47.19,99.78,15.845,1584.5,6.533333333
15.945,1594.5,20.84,1.59,0.56,0.1,-21.18,2.52,42.29,99.3,15.945,1594.5,6.533333333
16.045,1604.5,20.913,1.6,0.6,0.1,-21.19,2.8,42.52,99.71,16.045,1604.5,7
16.145,1614.5,20.9845,1.6,0.6,0.1,-21.17,3.16,41.85,99.24,16.145,1614.5,7
16.245,1624.5,21.048,1.6,0.58,0.09,-21.17,3.1,41.88,99.64,16.245,1624.5,7.518518519
16.345,1634.5,21.118,1.53,0.56,0.09,-21.18,2.66,41.98,98.38,16.345,1634.5,7.259259259
16.445,1644.5,21.1695,1.54,0.59,0.09,-21.14,1.41,40.69,98.48,16.445,1644.5,7.648148148
16.545,1654.5,21.2325,1.46,0.51,0.09,-21.08,1.91,38.46,97.79,16.545,1654.5,6.611111111
16.645,1664.5,21.281,1.52,0.59,0.1,-21.16,1.96,41.34,99.21,16.645,1664.5,6.883333333
16.745,1674.5,21.3405,1.45,0.57,0.1,-21.28,3.07,45.75,99.3,16.745,1674.5,6.65
16.845,1684.5,21.3955,0.77,0.42,0.09,-21.53,1.44,54.71,99.23,16.845,1684.5,5.444444444
16.945,1694.5,21.451,1.63,0.55,0.1,-21.23,1.71,44.05,99.42,16.945,1694.5,6.416666667
17.045,1704.5,21.506,1.41,0.55,0.1,-21.3,3.76,46.41,98.25,17.045,1704.5,6.416666667
17.155,1715.5,21.5695,1.26,0.55,0.1,-21.52,1.48,54.24,99.42,17.155,1715.5,6.416666667
17.255,1725.5,21.622,1.15,0.54,0.1,-21.33,1.39,47.46,99.47,17.255,1725.5,6.3
17.345,1734.5,21.6765,1.51,0.57,0.09,-21.41,-0.87,50.25,97.5,17.345,1734.5,7.388888889
17.445,1744.5,21.7275,1.37,0.55,0.09,-21.36,0.63,48.58,99.63,17.445,1744.5,7.12962963
17.545,1754.5,21.7945,1.45,0.55,0.1,-21.25,5.12,44.68,99.88,17.545,1754.5,6.416666667
17.645,1764.5,21.853,1.35,0.52,0.1,-21.43,1.07,51.19,99.12,17.645,1764.5,6.066666667
17.745,1774.5,21.9175,1.36,0.62,0.1,-21.32,1.73,47.2,99.75,17.745,1774.5,7.233333333
17.845,1784.5,21.9805,0.87,0.51,0.1,-21.5,1.83,53.52,99.44,17.845,1784.5,5.95
17.905,1790.5,22.0235,1.1,0.6,0.1,-21.39,0.99,49.75,99.58,17.905,1790.5,7
18.025,1802.5,22.1035,1.38,0.51,0.1,-20.88,1.75,31.45,98.76,18.025,1802.5,5.95
18.125,1812.5,22.1815,1.01,0.47,0.09,-21.67,1.66,59.69,99.57,18.125,1812.5,6.092592593
18.225,1822.5,22.26,0.87,0.53,0.1,-21.67,1.76,59.69,99.87,18.225,1822.5,6.183333333
18.325,1832.5,22.361,1.05,0.53,0.1,-21.56,1.75,55.76,99.72,18.325,1832.5,6.183333333
18.425,1842.5,22.44,1.11,0.53,0.1,-21.48,2.81,52.8,98.01,18.425,1842.5,6.183333333
18.525,1852.5,22.4705,1.18,0.55,0.1,-21.47,3.05,52.62,99.44,18.525,1852.5,6.416666667
18.625,1862.5,22.507,1.1,0.49,0.09,-21.48,3.32,52.89,99.15,18.625,1862.5,6.351851852
18.725,1872.5,22.543,0.76,0.47,0.1,-21.56,2.75,55.89,99.8,18.725,1872.5,5.483333333
18.825,1882.5,22.5805,1.16,0.5,0.09,-21.31,5.14,46.96,99.73,18.825,1882.5,6.481481481
18.925,1892.5,22.623,1.24,0.51,0.1,-21.24,4.87,44.16,99.01,18.925,1892.5,5.95
19.025,1902.5,22.6625,1.17,0.51,0.09,-21.44,5.06,51.37,99.8,19.025,1902.5,6.611111111
19.125,1912.5,22.704,1.51,0.5,0.09,-21.23,5.27,43.92,99.63,19.125,1912.5,6.481481481
19.225,1922.5,22.743,1.48,0.51,0.09,-21.17,4.7,41.66,99.58,19.225,1922.5,6.611111111
19.325,1932.5,22.7825,1.52,0.54,0.1,-21.02,5.25,36.58,97.23,19.325,1932.5,6.3
19.425,1942.5,22.823,1.32,0.53,0.1,-20.09,4.87,3.2,99.53,19.425,1942.5,6.183333333
19.515,1951.5,22.8535,0.83,0.46,0.1,-21.12,4.86,39.96,99.86,19.515,1951.5,5.366666667
19.615,1961.5,22.8895,1.68,0.51,0.09,-20.31,5.15,11.16,98.78,19.615,1961.5,6.611111111
19.715,1971.5,23.0655,1.43,0.54,0.09,-20.78,5.02,27.79,99.9,19.715,1971.5,7
19.805,1980.5,23.212,1.42,0.54,0.09,-20.71,2.75,25.44,98.9,19.805,1980.5,7
19.905,1990.5,23.347,1.48,0.56,0.09,-20.89,3.02,31.69,99.63,19.905,1990.5,7.259259259
20.005,2000.5,23.441,1.07,0.49,0.09,-21.25,2.86,44.55,99.67,20.005,2000.5,6.351851852
20.105,2010.5,23.525,1.61,0.58,0.09,-21.47,5.87,52.45,99.64,20.105,2010.5,7.518518519
20.205,2020.5,23.6175,1.44,0.5,0.09,-21.08,7.34,38.61,99.24,20.205,2020.5,6.481481481
20.305,2030.5,23.7005,1.32,0.54,0.08,-20.84,7.39,30.09,98.9,20.305,2030.5,7.875
20.405,2040.5,23.798,1.39,0.55,0.09,-20.37,4.92,13.37,99.58,20.405,2040.5,7.12962963
20.505,2050.5,23.897,1.27,0.49,0.08,-20.17,5.34,6.17,99.41,20.505,2050.5,7.145833333
20.585,2058.5,23.996,1.05,0.46,0.09,-20.58,4.97,20.58,99.67,20.585,2058.5,5.962962963
20.705,2070.5,24.2165,1.38,0.53,0.09,-20.46,5.03,16.33,99.4,20.705,2070.5,6.87037037
20.795,2079.5,24.348,1.35,0.54,0.1,-20.58,5.23,20.83,99.58,20.795,2079.5,6.3
20.895,2089.5,24.398,1.45,0.48,0.09,-20.46,5.21,16.32,99.84,20.895,2089.5,6.222222222
20.975,2097.5,24.4475,1.4,0.49,0.09,-20.74,5.1,26.54,99.87,20.975,2097.5,6.351851852
21.075,2107.5,24.5035,1.53,0.56,0.09,-21.07,5.31,38.29,99.72,21.075,2107.5,7.259259259
21.175,2117.5,24.554,1.57,0.51,0.1,-20.35,5.21,12.57,99.74,21.175,2117.5,5.95
21.275,2127.5,24.6175,1.66,0.45,0.08,-20.54,5.24,19.42,97.15,21.275,2127.5,6.5625
21.375,2137.5,24.6835,1.52,0.59,0.1,-21.18,5.59,42.01,99.82,21.375,2137.5,6.883333333
21.475,2147.5,24.752,1.51,0.5,0.09,-20.21,5.39,7.58,98.83,21.475,2147.5,6.481481481
21.575,2157.5,24.8225,1.43,0.54,0.09,-20.6,5.23,21.56,98.42,21.575,2157.5,7
21.675,2167.5,24.922,1.31,0.55,0.1,-19.91,1.63,-3.37,93.49,21.675,2167.5,6.416666667
21.775,2177.5,25.021,1.4,0.56,0.1,-20.08,5.2,3,99.86,21.775,2177.5,6.533333333
21.875,2187.5,25.1205,0.85,0.49,0.09,-20.31,5.34,11.1,99.37,21.875,2187.5,6.351851852
21.985,2198.5,25.23,1.23,0.54,0.09,-20.27,2.88,9.82,99.76,21.985,2198.5,7
22.085,2208.5,25.329,1.33,0.52,0.09,-20.69,3.23,24.71,99.92,22.085,2208.5,6.740740741
22.185,2218.5,25.4285,1.32,0.47,0.09,-20.21,4.63,7.34,99.72,22.185,2218.5,6.092592593
22.285,2228.5,25.528,1.43,0.55,0.09,-21.37,2.79,48.91,99.9,22.285,2228.5,7.12962963
22.385,2238.5,25.6275,1.4,0.55,0.09,-21.45,2.95,51.79,99.83,22.385,2238.5,7.12962963
22.485,2248.5,25.7265,1.42,0.55,0.09,-21.35,3.54,48.31,99.61,22.485,2248.5,7.12962963
22.565,2256.5,25.806,1.41,0.55,0.09,-21.25,5.2,44.77,99.69,22.565,2256.5,7.12962963
22.665,2266.5,25.9055,1.41,0.56,0.09,-21.73,2.67,61.96,99.4,22.665,2266.5,7.259259259
22.765,2276.5,26.005,1.47,0.6,0.1,-21.19,3.35,42.38,99.76,22.765,2276.5,7
